pdf_name,year,region,project_type,nom_commune,dept,land_surface_ha,power_mwc,longitude,latitude
20251209_apara1976_n7350_parcpv_taponas_69_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Taponas,69,11.0,14.0,4.76268144564,46.1258360429
251127_apara1960_cp_parcpvalmasa_styorre_03_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Yorre,03,3.3,3.8,3.46749665689,46.0642575713
20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,10.45,6.18,5.10337456661,45.7178013267
20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,10.45,6.18,5.10337456661,45.7178013267
20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,10.45,6.18,5.10337456661,45.7178013267
20251127_apara1970_centralepv_colombier-saugnieu_69_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,10.45,6.18,5.10337456661,45.7178013267
251112-apara-1961-centralepv_allan_26_delibere.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Allan,69,40.61,14.09,,
251028_apara1951_parcpv_mionnay_01_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Mionnay,01,3.02,4.27,4.92416967439,45.8955939299
251028_apara1949_parcpv_poncin_01_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Poncin,01,3.95,4.05,5.41681266947,46.089530586
251014_apara1950_parcpv_montagnieu_01_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Montagnieu,01,10.0,4.38,5.46428608859,45.799449019
20250930-ap-1935-agripv-terjat-03vdeliberee.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Terjat,03,17.05,9.81,2.61879197582,46.2144621437
20250930_ap_parc_agrivoltaique_sol_st-sulpice63_vdeliberee.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Saint-Sulpice,63,63.0,11820.0,2.6197535104,45.6470287269
20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Toulon-sur-Allier,03,43.35,31.3,3.37706265767,46.51061605
250916_apara1930_parcpv_marclopt_delibere.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Marclopt,42,9.4,4.18,4.22116537367,45.6639852846
20250904-ap-1921-agripv-neuvillelesdames-01vdeliberee.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Neuville-les-Dames,01,8.5,8.1,5.00942432434,46.1567753049
20250822-ap-1912-centralepv-espeluche-26vdeliberee-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Espeluche,26,31.4,10.2,4.82247674959,44.521406146
20250805-ara-ap-2025-01903-parcphotovoltaiqueausolnervieux_42_vdeliberee.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Nervieux,42,32778.0,6.53,4.14151199652,45.8118000128
20250708-ara-ap-1894_chalamont_01_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Chalamont,01,11.7,6.16,5.16936568,46.0076491739
250627_aparaxx_parcpv_salignysurroudon_03.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Saligny-sur-Roudon,03,252.0,49.0,3.75125723141,46.4629712549
20250609-ap-1885-pv-frugereslesmines_sainteflorine-43_publication.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Frugères-les-Mines,43,8.2,3.3,,
20250609-ap-1885-pv-frugereslesmines_sainteflorine-43_publication.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Sainte-Florine,43,8.2,3.3,3.30958888923,45.4018591959
250617_aparaxx_1883_agripv_noailly_42.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Noailly,42,54.9,12.2,4.00417536538,46.1414386815
ap-1879-parcpv-diou_03__publication.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Diou,03,268.0,44.3,3.7367345302,46.5226236257
250610_aparaxx_1877_centralepv_etroussat_03.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Etroussat,03,96.25,33.3,,
20250606-ara-ap-1876_vymbayet_st_didier_03_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Bayet,03,60.0,24.2,3.27682744078,46.257529442
20250606-ara-ap-1876_vymbayet_st_didier_03_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Didier-la-Forêt,03,60.0,24.2,3.33625437059,46.2294445001
20250603_apara1874_pvflottant_lescheroux_01_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Lescheroux,01,42.0,30.0,5.15107164478,46.4114892731
250526-apara-1867-centralepv-pierrelatte-26_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Pierrelatte,69,35.0,15.8,,
ap1865-parcpv_stchristophesurdolaizon_43_publication.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Christophe-sur-Dolaizon,43,2500.0,2.1,,
20250505-ap-1859-centraleagrivoltaique-grane-26_vf.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Grâne,26,31.4,12.5,,
250428_apara1869_actualisationeiparcpv_stpriest_69_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Priest,69,2.3,2.7,4.94882071665,45.701466556
ap1850-parcpv_pierrefittesurloire_03_vdeliberee.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Pierrefitte-sur-Loire,03,37.9,18.2,3.81007064731,46.5040402992
20250408-ap-1852-1857-defrichement-centralepv-orleat-63_publication.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Orléat,63,19.0,7.94,3.43869853549,45.8596417494
