pdf_name,land_surface_ha,power_mwc
2023apara103_pv_aveze_63.pdf,10.9,11.82
p_2020_10020_avis_ae_delegation_centrale_bessac_16_mrae_signe.pdf,3.5,
a_2024_5581_installation_photovoltaique_sol_mesnil_en_ouche_27_delibere.pdf,5.09,
8002_avis_centrale_photo_douai_anhiers.pdf,26.5,
007682_avis_centrale_photovoltaique_combles.pdf,3.76,1.0
p2024_15528_a_pv_3voie_fontaine_86.pdf,4.6,2.73
11303_avis_parcagrivoltaiqueploerdut_56_2024apb26.pdf,57.0,1.0
2023apge105.pdf,10.5,9.47
p_2021_11827_avis_parcpv_saint-hilaire-la-treille_87_jt_mrae_signe.pdf,103.0,112.0
210420_abfc13_pv_villeneuve_la_dondagre_89.pdf,10.6,7.853
2022apcvl43.pdf,76.0,1.0
20250930-ap-1935-agripv-terjat-03vdeliberee.pdf,17.05,9.81
2022apcvl57.pdf,140.0,1.0
p_2024_15841_cible_centrale_agripv_nerac_47_2024-06-25_12-17-47_246_1_.pdf,16.5,15.79
p_2023_15207_avis_ae_delegation_centrale_linxe_40-1.pdf,28.73,16.99
2023apge79.pdf,27.0,26.72
2018apcvl70_avis_pv_billy.pdf,6.0,6.34
p_2022_12484_a_jt-saint-hilaire-du-bois_17_-mrae-signe.pdf,8.5,
avi_2019apguy6_centrale_photovoltaique_slm.pdf,6.5,4.6
2024apo106.pdf,5.4,4.96
2025apcvl24.pdf,10.2,3.0
2024apo112.pdf,5.0,
a_2021-4287_parc-photovoltaique_fontenay-le-pesnel_delibere.pdf,4.7,
2023apge51.pdf,23.4,2.24
210504_apbfc16_parc_photovoltaique_villon_89.pdf,8000.0,42.27
2020apbfc46_pv_la_faye_irancy_st_bris_89.pdf,19.54,500.0
2021apcvl65.pdf,14.0,
230913_projet_ap-1601-_parcpv_-colonzelle_26_vf.pdf,1.735,1.41
avi_2022_apgua5_centrale_photovoltaique_marie_galante.pdf,71.1,
2024apge21.pdf,7.7,
006821_ap_centrale_pv_villers-en-cauchies.pdf,2.63,3.23
avis_pv_moneteau89_final.pdf,6.0,
p_2022_13140_a_photovolt_allons-47_mrae_signe.pdf,1900.0,3.0
2023apo30.pdf,15.9,13.0
avi_2022_apmar1_pc_centralephotovoltaique_bellefontaine.pdf,10.0,4.0
