pdf_name,context,page,land_type,land-type_2,https://drive.google.com/drive/folders/1YFCO0346CU_mfqp-9twzwkOIQRSAtCtk?usp=sharing
1-6-1-12_la_couvertoirade_valorem_avis_valide_mrae.pdf,"Le projet de centrale photovoltaïque au sol se situe sur la commune de La Couvertoirade en
Aveyron, sur le plateau du Larzac. Le site se localise sur un ancien délaissé autoroutier de l’A75 et
s’étend sur une superficie de 7,7 hectares d’emprise clôturée dont environ 3 hectares de
panneaux photovoltaïques pour une puissance d’environ 5 MWc.",3,Surfaces artificialisées,délaissé routier,
1-6-1-32_sauvetat_valeco_pvsol_avis_valide_mrae-2.pdf,"Le projet de centrale photovoltaïque au sol de « La Tastère » porté par VALECO se situe sur la
commune de La Sauvetat, au lieu-dit « La Tastère » au nord du département du Gers sur une
emprise de 9,6 hectares clôturés pour 3,4 ha de surface de panneaux. Le projet se situe pour
moitié sur un ancien site exploité en carrière, et pour moitié sur des espaces naturels..",3,Surfaces artificialisées et naturelles,,
2018apge84.pdf,"Le projet de parc photovoltaïque, porté par la société URBA 187 (groupe URBASOLAR), s’implante
au sud du village, sur une ancienne carrière et unité de fabrication de produits en terre cuite de la
société IMERYS Terre Cuite, dont l'exploitation a cessée.",5,Surfaces artificialisées,friche industrielle,
6112_avisae_pc_photovoltaique_variscourt.pdf,"Le projet s’implante sur les parcelles d’une ancienne carrière de sable, transformée en bassins de
décantation pour les activités d’une sucrerie. Le terrain est actuellement exploité pour l’extraction
de matériaux prélevés sur les digues des casiers de l’ancienne sucrerie.",3,Surfaces artificialisées,friche carrière ou mine,
2018apcvl44.pdf,"Le projet de centrale photovoltaïque au lieu-dit « Les Triballeaux » à Gièvres est
implanté sur une partie du périmètre de « La carrière Landre », carrière d’extraction
de matériaux alluvionnaires, installation classée pour la protection de
l’environnement autorisée en 2003.Une partie du site de la carrière, d’une superficie de 8,8 ha, arrivée en fin
d’exploitation, mais pas encore réaménagée par l’exploitant de la carrière, servirait
de support au projet de centrale photovoltaïque.",3,Surfaces artificialisées,friche carrière ou mine,
2018apge42.pdf,"Le projet concerne l’installation d’une centrale photovoltaïque sur un ancien site minier au lieu-dit
Schoenensteinbach à Wittenheim (Haut-Rhin).",3,Surfaces artificialisées,friche carrière ou mine,
2018apge6.pdf,"La SARL CPV SUN 26 a pour projet d’installer une centrale photovoltaïque au sol sur une friche
minière au nord-ouest de la commune de Petite-Rosselle, le long de la frontière allemande (site
Saint-Charles).",3,Surfaces artificialisées,friche carrière ou mine,
2018apge9.pdf,"La société Quadran souhaite implanter une centrale photovoltaïque sur le territoire communal
de Hesse (57), sur une ancienne installation de stockage de déchets.",3,Surfaces artificialisées,friche activités de gestion de déchets,
2019apge15.pdf,"La société TOTAL SOLAR projette de construire une centrale photovoltaïque au sol d’une
puissance de 4,99 MWc2, sur une surface de 4,5 ha et pour une durée de 25 ans sur un
ancien site d’une installation de stockage de déchets non dangereux (ISDND), géré par la
communauté d’agglomération de Sarreguemines confluences (CASC), au sud du quartier
Folpersviller à Sarreguemines.",3,Surfaces artificialisées,friche activités de gestion de déchets,
2019-006776-42112_6776_implantation_d_une_centrale_photovoltaique_a_guiscriff__56_.pdf,"le dossier de demande de permis de construire concernant le projet de création d’une
centrale solaire photovoltaïque au sol sur les terrains de l’aérodrome Brest Atlantique, situé sur la
commune de Guiscriff, porté par la société Solarcentury.",2,Surfaces artificialisées,friche aéroportuaire,
